68		54		42
90		93		38
75		89		4
81		55		14
94		58		20
86		63		19
91		90		10
81		83		32
61		65		16
84		94		23
87		96		26
81		51		39
50		92		30
96		99		1
86		94		5
62		53		24
83		81		28
99		94		3
79		79		39
70		68		12
63		76		44
92		80		42
94		78		28
65		71		11
88		62		38
72		86		6
77		55		32
58		78		8
95		76		24
52		61		13
68		89		23
50		73		7
81		82		11
61		74		26
64		89		49
95		56		45
58		95		38
51		63		50
88		58		16
95		60		13
92		57		50
86		78		19
82		68		21
64		91		30
50		84		31
64		62		42
66		55		13
65		62		44
75		67		3
99		72		25
71		70		26
98		82		41
86		91		45
73		80		36
68		77		15
55		67		19
90		57		42
88		76		1
65		63		24
99		89		5
83		70		36
53		90		4
75		86		7
92		59		45
66		61		47
63		60		30
70		85		49
73		83		30
70		85		26
95		88		38
83		57		44
84		51		16
94		85		20
86		89		40
72		52		41
71		59		13
95		75		9
87		96		9
90		72		4
66		94		31
92		72		32
87		57		1
94		82		39
84		78		12
75		58		9
64		83		36
98		79		45
92		73		7
96		94		25
60		65		23
88		85		50
60		92		26
67		67		35
85		93		38
80		76		17
85		88		16
75		64		44
80		85		50
50		87		42
65		79		17
